Number,Title,GivenName,MiddleInitial,Surname,MothersMaiden,Birthday,Gender,Age,BloodType,Kilograms,FeetInches
2575,Mr.,James,J,Clemons,Smith,8/30/2000,male,16,O-,52.5,"5' 8"""
2576,Mr.,Jeffery,E,Bryant,Spiva,10/4/2013,male,3,A-,17.9,"3' 3"""
2577,Mr.,Stephen,A,Tyson,Collier,10/27/2013,male,3,O+,11.1,"3' 1"""
2578,Mr.,James,C,Grant,Morgan,11/18/2000,male,16,O-,74.3,"6' 0"""
2579,Mr.,Ruben,J,Fluharty,Spiegel,11/26/2008,male,7,B+,27.4,"3' 10"""
2580,Mr.,Woodrow,A,Otten,Hurst,8/27/1997,male,19,O+,99.5,"6' 0"""
2581,Mr.,Victor,E,Stark,Foreman,11/5/2007,male,9,B-,33.3,"4' 7"""
2582,Dr.,Oliver,A,Cortes,Peterson,7/29/2014,male,2,AB+,13.1,"2' 8"""
2583,Mr.,Mark,C,Barnett,Dean,2/28/1998,male,18,O+,59.6,"6' 2"""
2584,Mr.,Jason,K,Scott,Obrien,10/29/2005,male,11,B+,53.2,"4' 11"""
2585,Dr.,Edwin,E,Harris,Williams,5/25/2010,male,6,O+,22.5,"4' 0"""
2586,Mr.,Richard,L,Smith,Stockton,6/15/1994,male,22,O+,107.8,"5' 7"""
2587,Mr.,James,J,Leigh,Quesinberry,10/7/2003,male,13,A-,41.5,"5' 0"""
2588,Mr.,Willard,E,Williams,Lewis,7/1/2006,male,10,O+,42.6,"4' 11"""
2589,Mr.,Elmer,A,Smith,Robinson,4/4/2008,male,8,AB-,32.7,"3' 11"""
2590,Mr.,Andrew,D,Thao,Stainbrook,5/26/1995,male,21,A+,108.9,"5' 8"""
2591,Mr.,Joseph,M,Smith,Timms,10/22/1998,male,18,O+,73.4,"5' 9"""
2592,Mr.,Raymundo,A,Andrews,Evans,8/29/2000,male,16,A-,70.3,"6' 2"""
2593,Mr.,Theodore,C,Faulks,Sims,4/10/2003,male,13,O+,33.0,"5' 2"""
2594,Mr.,Willis,M,Lochner,Hebert,8/19/2004,male,12,A+,51.2,"5' 2"""
2595,Mr.,Kenneth,L,White,Trotman,9/10/2006,male,10,O+,29.0,"4' 4"""
2596,Mr.,Aubrey,N,Johnson,Giddings,3/2/1997,male,19,O+,71.0,"5' 9"""
2597,Mr.,Dale,C,Moore,Green,3/15/2002,male,14,O+,76.8,"5' 10"""
2598,Mr.,Robert,C,Ainsworth,Powell,8/9/2003,male,13,A+,48.1,"4' 9"""
2599,Mr.,Luther,M,Mueller,Hanson,9/24/1997,male,19,O+,54.9,"6' 0"""
2600,Mr.,James,S,Berman,Carter,7/18/2003,male,13,A+,67.9,"4' 10"""
2601,Mr.,Jimmie,D,Lawless,Kittle,3/10/2008,male,8,O+,32.0,"4' 6"""
2602,Dr.,Lee,P,Reiff,Shea,7/27/2002,male,14,A-,69.6,"5' 1"""
2603,Mr.,Wilbert,M,Milliken,Conger,1/26/2011,male,5,AB-,14.7,"3' 5"""
2604,Mr.,Paul,P,Gonzalez,Hopkins,3/21/2009,male,7,B+,25.8,"4' 0"""
2605,Mr.,Jerry,F,Halter,Ernst,6/21/2001,male,15,B+,57.0,"5' 5"""
2606,Mr.,Mark,R,Williams,Chupp,9/6/2014,male,2,O+,14.6,"2' 11"""
2607,Mr.,George,D,Snead,Root,10/27/2004,male,12,B+,51.2,"4' 7"""
2608,Mr.,Kim,D,Polanco,Wilson,9/6/2006,male,10,O-,33.4,"4' 4"""
2609,Mr.,Randy,G,Place,Dickenson,8/23/2011,male,5,O+,16.7,"3' 8"""
2610,Mr.,Warren,R,Carpenter,Mifflin,8/11/1996,male,20,AB+,90.4,"5' 9"""
2611,Mr.,Ivan,B,Stoddard,Hernandez,4/16/1995,male,21,A+,108.9,"5' 8"""
2612,Mr.,William,M,Wasson,Williams,12/1/2013,male,2,B+,14.7,"2' 11"""
2613,Mr.,Maurice,J,Cote,Dickerson,7/8/1999,male,17,AB+,68.3,"6' 0"""
2614,Mr.,Bruce,F,Terrones,Smith,12/26/2009,male,6,O-,17.8,"3' 6"""
2615,Mr.,Darrel,M,McElveen,Wallace,11/11/2014,male,2,O+,13.8,"2' 8"""
2616,Mr.,Melvin,S,McKellar,McMurray,10/9/1999,male,17,O+,57.5,"6' 2"""
2617,Mr.,Jack,T,Chisolm,Blankenship,3/1/2010,male,6,B+,23.5,"3' 7"""
2618,Mr.,Timothy,R,Milliken,Hiatt,9/8/2011,male,5,O+,17.2,"3' 5"""
2619,Mr.,David,S,Macleod,Adan,9/6/1994,male,22,B+,94.1,"5' 10"""
2620,Mr.,Travis,C,Clement,Hurt,4/30/1998,male,18,B+,76.1,"6' 2"""
2621,Mr.,Howard,A,Bowers,Keck,5/24/2007,male,9,A+,42.9,"4' 3"""
2622,Mr.,Francis,A,Olson,Dodd,5/17/2008,male,8,O+,30.5,"4' 1"""
2623,Mr.,James,L,Hine,Kennedy,3/7/1997,male,19,B+,92.4,"5' 8"""
2624,Mr.,Scott,L,Madore,Thorpe,1/26/2003,male,13,O+,32.7,"5' 4"""
2625,Mr.,David,M,Mathis,Garza,7/24/2008,male,8,B+,30.6,"4' 5"""
2626,Mr.,Louis,M,Keith,Seefeldt,12/21/2005,male,10,B+,45.4,"4' 4"""
2627,Mr.,Robert,I,Burns,Anderson,6/20/2004,male,12,O+,51.2,"4' 7"""
2628,Mr.,Lawrence,J,Swope,Welch,12/25/1994,male,21,O-,77.7,"5' 6"""
2629,Mr.,Alberto,M,Reuter,Denson,9/11/2002,male,14,B+,68.2,"5' 10"""
2630,Mr.,Wallace,M,Hall,Phillips,7/11/2004,male,12,O+,47.4,"5' 2"""
2631,Mr.,Matthew,M,Hagan,Rose,8/9/1994,male,22,O+,108.3,"5' 6"""
2632,Mr.,Wade,L,Omar,Fay,4/30/2004,male,12,B+,40.1,"4' 8"""
2633,Mr.,Michael,C,Franklin,Ramirez,9/6/1995,male,21,B+,60.2,"5' 9"""
2634,Mr.,Huey,J,Douglas,Crews,10/1/2007,male,9,O+,24.7,"4' 8"""
2635,Mr.,Robert,M,Krueger,Leyva,1/9/2013,male,3,A+,17.2,"3' 5"""
2636,Mr.,Mark,R,Williams,Young,6/6/2013,male,3,A+,17.4,"3' 1"""
2637,Mr.,Felipe,S,Carpenter,Hernandez,2/9/2005,male,11,B+,44.9,"4' 11"""
2638,Mr.,Heath,J,Heard,Hayse,8/20/2010,male,6,B+,28.6,"3' 6"""
2639,Mr.,Scott,P,Nielsen,Grabowski,6/26/1997,male,19,O+,54.1,"5' 8"""
2640,Mr.,William,P,Myers,Roberts,2/19/2010,male,6,O+,22.8,"4' 1"""
2641,Mr.,Mark,B,Jacobs,Nicholas,12/14/2008,male,7,B+,25.3,"4' 2"""
2642,Mr.,Thomas,P,Carlucci,Camper,4/15/2004,male,12,B+,50.6,"4' 11"""
2643,Mr.,Robert,L,Molina,Conklin,1/23/2002,male,14,B+,62.4,"5' 0"""
2644,Mr.,Leroy,W,Caley,Buchanan,3/4/1996,male,20,B-,96.4,"5' 7"""
2645,Dr.,Herbert,P,McClanahan,Williams,3/30/2012,male,4,B+,19.0,"3' 3"""
2646,Mr.,Fred,P,Payne,Mitchell,3/12/2010,male,6,A+,25.8,"3' 10"""
2647,Mr.,Erik,A,Cryer,Roberson,1/9/2003,male,13,A+,41.5,"5' 0"""
2648,Mr.,Christopher,J,Pendleton,Coen,11/2/1998,male,18,O+,74.6,"5' 11"""
2649,Mr.,Perry,A,Henry,Fowler,12/22/2007,male,8,A+,20.9,"4' 5"""
2650,Mr.,Harold,M,McDonald,Koss,11/30/1996,male,19,B+,82.4,"5' 6"""
2651,Mr.,Paul,T,Mills,Hearn,1/4/2007,male,9,O+,30.7,"4' 4"""
2652,Mr.,Christopher,M,Lester,Lambert,4/10/2012,male,4,O+,17.5,"3' 3"""
2653,Mr.,James,E,Baumgarten,Eckhart,3/8/2009,male,7,B+,22.2,"3' 8"""
2654,Mr.,Monty,M,Truong,Kearns,3/15/2006,male,10,A+,44.6,"4' 5"""
2655,Mr.,Pedro,L,Lewis,Henderson,4/25/2001,male,15,A+,78.0,"5' 9"""
2656,Mr.,Ralph,M,Bradley,Ortiz,8/28/2012,male,4,A+,14.7,"3' 6"""
2657,Mr.,John,B,Neal,Byers,3/13/1994,male,22,O+,71.6,"5' 6"""
2658,Mr.,Ronald,J,Quick,White,7/20/2014,male,2,A+,13.2,"2' 11"""
2659,Mr.,Jake,A,Pereira,Carpenter,2/8/1996,male,20,A+,74.0,"5' 11"""
2660,Mr.,Joshua,A,Coffman,Kalb,12/26/2003,male,12,O+,55.5,"4' 10"""
2661,Mr.,Patrick,K,Dunham,Harris,6/22/2008,male,8,A+,20.3,"4' 7"""
2662,Mr.,Clyde,M,Wilson,Yanes,12/18/2002,male,13,A-,63.3,"5' 7"""
2663,Mr.,David,N,Luton,Eddington,12/3/2004,male,11,B+,47.9,"4' 9"""
2664,Mr.,Herschel,K,Hernandez,Roehl,3/17/1999,male,17,B+,58.2,"5' 8"""
2665,Mr.,Jim,C,Witte,Louden,3/31/2013,male,3,A+,13.1,"3' 1"""
2666,Mr.,Steven,Z,Torres,Ellman,1/12/1997,male,19,A+,55.5,"6' 0"""
2667,Mr.,Weldon,L,Barton,Nardone,12/12/1999,male,16,A+,70.0,"5' 6"""
2668,Mr.,Michael,G,Carver,Sandoval,3/18/2008,male,8,A+,33.8,"4' 4"""
2669,Mr.,Joseph,J,Harrell,Richards,9/14/2004,male,12,O+,29.5,"4' 7"""
2670,Mr.,Giovanni,C,Hutchison,Candler,2/15/2004,male,12,B+,56.3,"4' 6"""
2671,Mr.,Franklin,C,Henry,Matthews,8/11/2000,male,16,O+,65.4,"5' 3"""
2672,Mr.,Randall,J,Drake,Stephens,4/3/2006,male,10,A+,24.7,"4' 3"""
2673,Mr.,Gregory,R,Barber,Hamlett,3/9/1999,male,17,O+,82.6,"5' 7"""
2674,Mr.,Edward,T,Haynes,Williams,5/17/2013,male,3,O+,13.7,"3' 4"""
2675,Mr.,Douglas,C,McPhee,May,4/6/2008,male,8,B+,22.6,"4' 2"""
2676,Mr.,Aaron,K,Sanders,Robles,1/30/2014,male,2,A+,10.5,"2' 9"""
2677,Mr.,John,V,Baxter,Moore,1/2/1998,male,18,O+,96.5,"5' 7"""
2678,Mr.,Mark,H,Fuchs,Cook,9/10/1999,male,17,O+,81.9,"6' 2"""
2679,Mr.,George,P,Middleton,Sizemore,6/17/2002,male,14,B+,67.0,"5' 8"""
2680,Mr.,Henry,E,Durkin,Greene,9/11/2008,male,8,B+,25.7,"4' 6"""
2681,Mr.,Tommy,E,Spiegel,Weiss,5/6/2004,male,12,A+,49.8,"5' 4"""
2682,Mr.,Justin,D,Wolcott,Garcia,4/12/2008,male,8,O+,35.4,"4' 4"""
2683,Mr.,Harvey,A,Dilorenzo,Lowe,12/21/1994,male,21,O+,94.6,"5' 9"""
2684,Mr.,Charles,A,Gerber,Moffett,5/16/2014,male,2,O+,13.4,"2' 11"""
2685,Mr.,Reginald,M,Jones,Church,5/11/1996,male,20,A+,81.0,"5' 9"""
2686,Mr.,Kevin,S,Gaskins,Obrien,11/4/2010,male,6,A+,21.8,"3' 10"""
2687,Mr.,Juan,H,Smith,Harris,5/12/2014,male,2,O+,10.0,"2' 8"""
2688,Mr.,Dudley,D,Guillot,Leonard,9/15/1998,male,18,B+,68.9,"5' 9"""
2689,Mr.,Paul,M,Oliver,Rowley,2/10/2005,male,11,B+,28.2,"4' 10"""
2690,Mr.,Jerrell,H,Tucker,Marchetti,6/19/2010,male,6,A+,28.0,"3' 10"""
2691,Mr.,Richard,D,Isaacs,Shaw,11/30/2001,male,14,A+,47.9,"5' 0"""
2692,Mr.,Tony,R,Dodds,Reeves,2/20/2008,male,8,O+,36.1,"4' 4"""
2693,Mr.,Christopher,R,Lyman,Filson,8/18/2001,male,15,B+,53.7,"5' 10"""
2694,Mr.,Isaac,J,Bass,Gainer,9/24/2007,male,9,O+,34.4,"4' 4"""
2695,Dr.,Jamel,D,Gore,Shelley,7/22/2013,male,3,AB+,18.1,"3' 1"""
2696,Mr.,Alan,J,Robitaille,Seaman,8/11/2008,male,8,A+,34.0,"4' 0"""
2697,Mr.,Joseph,D,Almon,Simpson,12/23/1994,male,21,A+,72.2,"5' 7"""
2698,Mr.,Alex,M,Wells,Dobbins,12/25/2010,male,5,O+,24.6,"3' 5"""
2699,Mr.,Charles,J,Roberts,Weeks,9/6/2003,male,13,AB+,50.4,"5' 6"""
2700,Mr.,Lester,J,Farrar,Smith,2/17/2005,male,11,O+,40.2,"4' 9"""
2701,Mr.,Jim,B,Snowden,Montgomery,6/4/1995,male,21,A+,67.8,"6' 2"""
2702,Mr.,Douglas,K,Reynolds,Little,12/8/2005,male,10,B+,43.0,"4' 2"""
2703,Mr.,Archie,J,Chavez,Johnson,10/23/2005,male,11,A+,40.3,"4' 9"""
2704,Mr.,Brian,M,Horwitz,Mountain,2/11/1994,male,22,AB-,80.6,"5' 8"""
2705,Mr.,Ronald,T,Heimann,Powell,9/20/2000,male,16,A+,69.3,"5' 10"""
2706,Mr.,Ryan,S,Harden,Little,6/23/2011,male,5,A+,18.8,"3' 9"""
2707,Mr.,Alexander,R,Caldwell,Rodriguez,2/19/2006,male,10,A+,30.7,"4' 11"""
2708,Mr.,Charles,K,Whitley,Thibodeaux,12/19/2011,male,4,O+,13.7,"3' 5"""
2709,Mr.,Andre,J,Phillips,Letcher,8/23/1996,male,20,AB+,55.7,"6' 0"""
2710,Mr.,George,T,Crockett,Olson,2/10/1996,male,20,O+,64.0,"5' 9"""
2711,Mr.,Stephen,A,Lamothe,Ames,7/28/1994,male,22,O-,62.8,"5' 6"""
2712,Mr.,James,M,Jackson,Davis,3/20/2005,male,11,A+,37.3,"4' 7"""
2713,Mr.,Nicholas,A,Evans,Sanchez,9/21/2001,male,15,A-,57.3,"5' 9"""
2714,Mr.,George,L,Suggs,Forster,3/22/1995,male,21,O+,83.6,"5' 9"""
2715,Mr.,Alan,D,Brady,Gipson,5/2/1995,male,21,A+,87.2,"5' 6"""
2716,Mr.,Alex,J,Charles,Amoroso,2/5/2011,male,5,O-,23.8,"3' 5"""
2717,Mr.,Alan,E,Blevins,Benningfield,12/25/1994,male,21,O+,76.0,"5' 10"""
2718,Mr.,Paul,S,Fang,Werner,9/2/1999,male,17,A+,60.6,"5' 10"""
2719,Mr.,John,C,Cunningham,Bonneau,9/14/1996,male,20,B+,85.8,"6' 2"""
2720,Mr.,Cruz,M,Johnson,Hebert,4/28/1994,male,22,A+,69.9,"6' 0"""
2721,Mr.,Peter,L,Young,Francis,1/31/1995,male,21,B-,94.8,"5' 9"""
2722,Mr.,Keith,P,Thomas,Gregory,8/21/2001,male,15,B+,61.8,"5' 1"""
2723,Mr.,Roger,E,Rodriguez,Babich,1/16/2003,male,13,A+,43.0,"5' 5"""
2724,Mr.,Jose,L,Kennedy,Rucker,8/17/2001,male,15,O+,57.2,"5' 6"""
2725,Mr.,Vincent,A,Knickerbocker,Baxter,11/14/2012,male,4,A+,15.4,"3' 3"""
2726,Mr.,James,F,Dupree,Pollard,4/18/1995,male,21,O+,90.2,"5' 7"""
2727,Mr.,Michael,K,Finch,Bailey,5/18/2004,male,12,A+,36.3,"4' 6"""
2728,Mr.,Granville,M,Shuler,Swinson,9/11/2012,male,4,B+,15.8,"3' 3"""
2729,Mr.,John,B,Reynolds,Carmouche,5/14/1996,male,20,B+,88.8,"6' 0"""
2730,Mr.,Richard,D,Molina,Russell,10/16/1995,male,21,O-,96.6,"6' 3"""
2731,Mr.,William,M,Smith,Hatfield,7/10/2001,male,15,AB+,74.4,"5' 7"""
2732,Dr.,Jeff,M,Houser,Henegar,5/7/1995,male,21,B+,66.3,"5' 9"""
2733,Mr.,Timothy,C,Fernandez,Fletcher,11/2/2013,male,3,B+,16.9,"3' 2"""
2734,Mr.,Russell,A,Figueroa,West,4/3/1998,male,18,O+,92.2,"5' 10"""
2735,Mr.,Timothy,L,Hall,Peck,2/11/2006,male,10,A+,25.7,"4' 11"""
2736,Mr.,Derrick,A,Skates,Peters,9/7/2005,male,11,B+,42.2,"4' 8"""
2737,Mr.,Taylor,C,Finke,Brown,5/7/2010,male,6,B+,24.8,"3' 10"""
2738,Mr.,Oscar,J,Harris,Mills,3/7/2009,male,7,A+,27.7,"4' 4"""
2739,Mr.,Roberto,B,Martinez,Harton,11/21/2010,male,6,O+,18.4,"3' 10"""
2740,Mr.,John,N,Soto,Sherman,1/16/2009,male,7,O+,29.7,"4' 3"""
2741,Mr.,Quentin,S,Hawes,Dangelo,6/10/2007,male,9,O+,31.7,"4' 6"""
2742,Mr.,Jack,A,Harkins,Adams,3/1/2010,male,6,B+,18.5,"3' 11"""
2743,Dr.,Marcel,L,White,Crowe,5/14/2003,male,13,O+,69.5,"5' 7"""
2744,Mr.,Ronald,F,Donaldson,Duckworth,8/6/2001,male,15,A+,61.8,"5' 2"""
2745,Mr.,Christian,M,Dorsey,Jacobs,7/2/2012,male,4,A+,15.5,"3' 4"""
2746,Mr.,Robert,J,Smith,Mahaffey,9/30/1995,male,21,B+,102.8,"6' 2"""
2747,Mr.,Jamie,L,Nielsen,Edwin,3/14/1999,male,17,A+,71.8,"6' 0"""
2748,Mr.,Jose,J,Rice,Richardson,11/21/2006,male,10,A+,27.9,"4' 6"""
2749,Mr.,Jackie,B,Johnson,Rivera,2/28/1999,male,17,A+,56.2,"6' 1"""
2750,Mr.,Jerry,R,Bailey,Gorman,9/24/2000,male,16,O+,67.9,"6' 0"""
2751,Mr.,Chris,D,Wenner,Belanger,9/16/2003,male,13,O+,61.7,"4' 8"""
2752,Mr.,Manuel,E,Hall,Becker,7/16/2012,male,4,O+,20.6,"3' 4"""
2753,Mr.,David,M,Horn,Pugh,10/3/2014,male,2,A+,14.7,"2' 10"""
2754,Mr.,Ivan,C,Davis,Stutz,3/29/2008,male,8,A-,23.8,"4' 6"""
2755,Mr.,James,K,Medina,Barber,4/11/2007,male,9,A+,32.4,"4' 3"""
2756,Mr.,David,D,Allen,Brown,3/30/2000,male,16,O+,61.4,"5' 7"""
2757,Mr.,Willis,T,Wallace,Beauregard,5/4/2001,male,15,B+,51.1,"5' 7"""
2758,Mr.,Robert,L,Ohara,Newby,8/11/1999,male,17,O+,52.3,"6' 0"""
2759,Mr.,Francis,R,Carr,Colman,7/12/2003,male,13,B+,69.6,"5' 1"""
2760,Mr.,Ben,M,Cleghorn,Williams,12/10/2001,male,14,O+,65.8,"5' 4"""
2761,Mr.,James,L,Watson,Ponte,6/14/2012,male,4,O+,15.6,"3' 7"""
2762,Mr.,Kim,T,Martinez,Watkins,5/26/1994,male,22,O+,60.1,"6' 1"""
2763,Mr.,Paul,L,Brooks,Johnson,4/24/2000,male,16,B+,69.4,"5' 10"""
2764,Mr.,Charles,S,Pacheco,Vito,9/24/2012,male,4,B+,19.4,"3' 5"""
2765,Mr.,Randy,K,Chausse,Graham,5/12/2010,male,6,B+,16.7,"4' 1"""
2766,Mr.,Willie,A,Foster,Sachs,3/24/2002,male,14,B-,60.6,"5' 6"""
2767,Mr.,Larry,A,Allen,Jackson,7/28/2003,male,13,O+,38.9,"4' 9"""
2768,Mr.,Carlos,A,Westlund,Oneal,5/2/2008,male,8,B+,20.3,"4' 2"""
2769,Mr.,Joshua,C,Crockett,McCarter,2/4/2001,male,15,A+,65.0,"5' 3"""
2770,Mr.,Wade,D,Haupt,Behrens,2/7/2009,male,7,O+,24.5,"4' 2"""
2771,Mr.,Robert,C,Macias,Cornett,7/18/1998,male,18,B+,70.3,"5' 9"""
2772,Mr.,Rick,F,Heim,Franklin,11/30/2012,male,3,B+,13.2,"3' 2"""
2773,Mr.,David,S,Chasse,Thompson,6/29/2012,male,4,B+,18.1,"3' 2"""
2774,Mr.,Dennis,J,Seals,Kramer,8/27/2002,male,14,O+,67.6,"5' 2"""
2775,Mr.,Howard,C,Joe,Littleton,5/15/1999,male,17,B+,53.1,"6' 2"""
2776,Mr.,Samuel,R,Lowery,Phelps,11/2/2006,male,10,O+,30.4,"4' 2"""
2777,Mr.,Joseph,J,Neel,Fraher,3/10/1999,male,17,O+,49.8,"5' 10"""
2778,Mr.,Hector,C,Oconner,Laramie,11/15/2003,male,13,O+,52.5,"4' 11"""
2779,Mr.,Bobby,I,Olson,Kircher,3/30/1997,male,19,O+,53.5,"6' 1"""
2780,Mr.,John,J,Williams,Silverman,7/3/2014,male,2,O+,10.7,"2' 10"""
2781,Mr.,Larry,C,George,Pendleton,12/1/1997,male,18,O+,80.9,"5' 6"""
2782,Mr.,Pedro,D,Banks,Lemus,11/16/1995,male,21,O+,98.0,"5' 6"""
2783,Mr.,Rodney,J,Castro,Maynor,5/23/2007,male,9,A+,27.2,"4' 3"""
2784,Mr.,Tommy,V,Riter,Roberts,1/3/2010,male,6,O+,16.7,"4' 1"""
2785,Dr.,Joseph,T,Hummel,Marcum,8/9/2000,male,16,A+,46.4,"5' 9"""
2786,Mr.,Steven,L,Surles,Feliciano,7/1/1999,male,17,B+,69.8,"5' 3"""
2787,Mr.,Jon,A,Beck,Taylor,12/8/2010,male,5,O+,19.1,"3' 8"""
2788,Mr.,William,J,Williams,Verrett,9/24/2004,male,12,O+,44.7,"4' 7"""
2789,Mr.,Kirk,L,Shinkle,McIntosh,7/31/2014,male,2,O+,12.1,"2' 9"""
2790,Mr.,Mark,L,Doman,Kiger,2/23/2012,male,4,O+,20.6,"3' 5"""
2791,Mr.,George,M,Miller,Davis,3/9/1998,male,18,O+,72.8,"5' 7"""
2792,Mr.,Paul,S,Dent,Mizelle,7/4/1995,male,21,A-,77.5,"6' 1"""
2793,Mr.,James,A,Kieffer,Brashear,10/23/2011,male,5,O+,24.3,"3' 6"""
2794,Dr.,Kurt,Y,Gordan,Williams,1/3/1994,male,22,O+,77.3,"5' 7"""
2795,Mr.,James,B,Hernandez,Gordon,7/11/1997,male,19,A+,54.0,"5' 10"""
2796,Mr.,Timothy,F,Piper,Nunez,6/19/1995,male,21,B+,75.2,"6' 2"""
2797,Mr.,Gregory,L,Jones,Cruz,12/4/1998,male,17,A+,69.9,"5' 9"""
2798,Mr.,Joseph,D,Duncan,Hammond,7/23/2014,male,2,O+,15.2,"2' 11"""
2799,Mr.,David,J,Jantzen,Branch,7/28/1995,male,21,A+,99.7,"5' 10"""
2800,Mr.,Rudy,J,Moore,Gomez,5/5/2009,male,7,B+,28.9,"4' 0"""
2801,Mr.,Gene,C,Heller,Vogler,12/28/1995,male,20,O-,86.7,"5' 6"""
2802,Mr.,Gregory,B,Dugas,Hopkins,12/1/2009,male,6,A+,18.7,"3' 7"""
2803,Mr.,Richard,C,Baumann,McDonald,9/4/1994,male,22,A+,98.8,"5' 9"""
2804,Mr.,Terry,K,Sirois,Jacobs,7/28/2011,male,5,O+,20.4,"3' 10"""
2805,Mr.,Frederick,D,Portis,Nelson,12/15/1994,male,21,A-,99.3,"6' 2"""
2806,Mr.,Cyrus,T,Perry,Steward,11/23/2007,male,8,O+,31.7,"4' 4"""
2807,Mr.,John,J,Nelms,Sargent,2/9/2004,male,12,O+,46.3,"5' 0"""
2808,Mr.,Jacob,F,Parrish,Smith,11/1/2004,male,12,O-,50.6,"5' 0"""
2809,Mr.,Sean,B,Nemeth,Miller,4/30/2013,male,3,O+,16.1,"3' 4"""
2810,Mr.,Kyle,J,Coulter,Raney,5/30/2002,male,14,B+,39.3,"5' 7"""
2811,Mr.,Joe,L,Busby,Terry,12/8/1999,male,16,A+,67.7,"5' 7"""
2812,Mr.,Ronald,S,West,Labbe,10/21/2005,male,11,A+,49.6,"4' 11"""
2813,Mr.,Ricky,M,Arnett,Edwards,6/15/2001,male,15,A+,53.5,"5' 8"""
2814,Mr.,Lawrence,J,Chamberlin,Carmichael,7/26/2001,male,15,B+,72.9,"5' 6"""
2815,Mr.,James,L,Billy,Blass,5/14/2006,male,10,O+,39.6,"4' 4"""
2816,Mr.,Harvey,E,Williams,Aranda,1/28/1999,male,17,O+,71.5,"6' 0"""
2817,Mr.,Edwin,G,Crowell,Padilla,10/1/1998,male,18,B+,72.1,"5' 11"""
2818,Mr.,Joe,A,Newsome,Wilson,3/11/2002,male,14,B+,48.2,"5' 10"""
2819,Mr.,Harold,S,Reid,Goodrich,4/3/2007,male,9,B+,39.4,"4' 5"""
2820,Dr.,Travis,A,Swartwood,Kraus,9/10/1998,male,18,O+,84.6,"6' 2"""
2821,Mr.,Herbert,L,Sowders,Weed,2/2/2002,male,14,O+,50.1,"5' 5"""
2822,Mr.,Derrick,E,Brody,Tuck,11/2/2004,male,12,A+,38.3,"4' 9"""
2823,Mr.,Jeremy,B,Goggin,Webb,6/30/2013,male,3,A+,17.6,"2' 11"""
2824,Mr.,Steven,H,Rogers,Risher,11/7/2014,male,2,A+,10.9,"2' 9"""
2825,Mr.,Robert,L,Kerr,Byers,5/12/2007,male,9,O+,36.7,"4' 6"""
2826,Mr.,Lorenzo,C,Brewer,Brookshire,4/1/2005,male,11,B+,27.9,"4' 8"""
2827,Mr.,Christopher,M,Thrasher,Spencer,7/28/2007,male,9,AB+,38.3,"4' 6"""
2828,Mr.,Ernie,A,Galvan,Robinson,11/27/1997,male,18,B+,79.5,"5' 5"""
2829,Mr.,Angel,D,O'Donnell,Sherman,8/26/2009,male,7,A+,19.7,"4' 2"""
2830,Mr.,William,A,Drexler,Brockman,4/21/2009,male,7,B-,26.2,"4' 0"""
2831,Mr.,Peter,A,Campbell,Dunn,4/19/2000,male,16,O+,70.0,"6' 0"""
2832,Mr.,Michael,L,Solberg,Britt,10/9/2008,male,8,B+,30.3,"4' 2"""
2833,Mr.,Kristopher,D,Hampton,Wheeler,3/27/1999,male,17,O-,51.0,"5' 8"""
2834,Mr.,Mark,A,Teitelbaum,Noble,5/7/2006,male,10,O-,29.5,"4' 7"""
2835,Mr.,Ricky,E,Todd,Fuentes,12/19/2003,male,12,A+,58.8,"4' 11"""
2836,Mr.,Jack,J,Nguyen,Marcellus,2/23/1999,male,17,B+,70.3,"5' 9"""
2837,Mr.,Gary,S,Bowman,Breen,1/24/2000,male,16,B+,75.4,"6' 1"""
2838,Mr.,Julius,C,Nickell,Alvarez,3/31/2013,male,3,A-,14.3,"2' 11"""
2839,Mr.,Edward,D,Reed,Chapman,8/8/2013,male,3,A-,11.3,"3' 1"""
2840,Mr.,David,F,Williams,Peterson,11/10/1996,male,20,O+,76.2,"6' 0"""
2841,Mr.,Michael,A,Rode,Turner,6/13/2005,male,11,O+,29.0,"4' 8"""
2842,Mr.,Raymond,M,Rayl,Lott,5/31/2012,male,4,O+,21.3,"3' 3"""
2843,Mr.,Edmund,C,Williams,Davis,6/8/2007,male,9,A+,31.6,"4' 5"""
2844,Mr.,Thomas,M,Flores,Eusebio,7/18/2012,male,4,A+,18.4,"3' 5"""
2845,Mr.,Kenneth,B,Stark,Curry,7/16/2000,male,16,O+,60.7,"5' 10"""
2846,Mr.,Joseph,H,Smith,Freeman,5/22/2013,male,3,O+,16.3,"3' 5"""
2847,Mr.,Wayne,R,Wagner,Drumm,10/8/2006,male,10,O+,24.2,"4' 7"""
2848,Mr.,John,K,Malinowski,Caywood,3/1/2014,male,2,B+,11.6,"2' 10"""
2849,Mr.,Juan,B,McKay,Waterhouse,8/28/2003,male,13,A+,70.7,"5' 1"""
2850,Dr.,Nicholas,N,Moir,Burger,1/7/2010,male,6,O+,22.6,"3' 8"""
2851,Mr.,Johnny,A,Jorgensen,Closson,6/4/2005,male,11,O+,29.4,"4' 7"""
2852,Mr.,Oscar,S,Frey,Mason,9/5/1997,male,19,A+,61.0,"6' 0"""
2853,Mr.,Donald,K,Shivers,Casperson,12/26/1998,male,17,A-,58.3,"5' 5"""
