Number,Gender,Title,GivenName,MiddleInitial,Surname,MothersMaiden,Birthday,Age,BloodType,Kilograms,FeetInches
2096,female,Mrs.,Helen,E,Goree,Fuller,4/11/2010,6,O-,20.5,"4' 0"""
2097,female,Ms.,Jewell,D,Swindell,Pilcher,6/13/2004,12,O+,45.2,"5' 0"""
2098,female,Mrs.,Tracie,C,Bartlow,Ellis,6/8/2001,15,B-,39.0,"5' 3"""
2099,female,Ms.,Laura,M,Downer,Cole,4/18/2014,2,O+,9.6,"2' 10"""
2100,female,Mrs.,Mary,B,Adelman,Sandoval,5/31/2014,2,O+,11.2,"2' 7"""
2101,female,Mrs.,Maryanne,A,Bradford,Harris,4/19/1994,22,B+,72.7,"5' 7"""
2102,female,Mrs.,Hannah,R,Cousins,Harper,5/15/2010,6,O+,16.5,"3' 11"""
2103,female,Ms.,Josephine,R,Anderson,Coley,11/15/1998,18,A+,46.9,"5' 4"""
2104,female,Ms.,Deborah,R,Yen,Templin,11/1/2010,6,A+,26.7,"4' 1"""
2105,female,Mrs.,Deanna,O,Aguilar,Goldstein,12/22/1995,20,B+,54.6,"5' 5"""
2106,female,Ms.,Cynthia,J,Reisinger,Brown,4/22/2011,5,B+,18.0,"3' 3"""
2107,female,Ms.,Ethel,P,Fleming,Coleman,8/25/2013,3,O+,14.7,"3' 1"""
2108,female,Mrs.,Joan,J,Barth,Cozart,12/18/2011,4,O+,16.0,"3' 4"""
2109,female,Ms.,Ola,J,Hess,Adams,9/17/1998,18,AB+,44.1,"5' 6"""
2110,female,Ms.,Kara,M,Cartagena,James,3/6/2013,3,A+,16.9,"2' 11"""
2111,female,Ms.,Kathryn,K,Morris,Wallis,3/19/2007,9,A+,22.7,"4' 2"""
2112,female,Ms.,Lindsey,J,Frank,Howard,3/12/2008,8,A-,23.1,"4' 2"""
2113,female,Mrs.,Dulce,K,Hummel,Byrd,12/15/2001,14,A+,47.2,"5' 2"""
2114,female,Ms.,Diane,N,Doss,Stull,11/26/1993,22,B+,81.7,"5' 1"""
2115,female,Ms.,Robin,R,Pontiff,Malcom,3/23/1997,19,A+,68.0,"5' 4"""
2116,female,Ms.,Yvonne,M,Bayne,Brower,6/18/2001,15,B+,41.1,"5' 2"""
2117,female,Ms.,Susan,G,King,Desantis,3/8/1995,21,AB-,92.5,"5' 7"""
2118,female,Ms.,Elizabeth,S,Gilliam,Buckley,11/2/2002,14,O+,52.0,"5' 2"""
2119,female,Ms.,Jamie,J,Hunnicutt,King,12/29/2012,3,B+,13.2,"3' 1"""
2120,female,Ms.,Stephanie,M,Fernandes,George,3/10/1996,20,A+,67.9,"5' 3"""
2121,female,Ms.,Stacie,M,McCombs,Thomas,7/6/2001,15,O+,63.3,"5' 3"""
2122,female,Ms.,Harriette,S,Dasilva,Medford,5/31/2006,10,A+,27.4,"4' 7"""
2123,female,Ms.,Nettie,C,Tulley,Guardado,6/26/2009,7,A+,27.0,"4' 4"""
2124,female,Ms.,Janet,J,Leach,Long,3/31/1994,22,A+,46.7,"5' 3"""
2125,female,Mrs.,Marilyn,J,Ward,Ragland,6/10/2008,8,O+,20.6,"4' 4"""
2126,female,Ms.,Margaret,J,Torres,Irby,5/11/2012,4,O+,13.8,"3' 1"""
2127,female,Mrs.,Lashandra,D,Handley,Jones,4/20/2012,4,A+,16.4,"3' 5"""
2128,female,Mrs.,Katelyn,K,Bates,Sherrard,7/3/2013,3,O+,14.1,"3' 1"""
2129,female,Ms.,Samantha,B,Harris,Farmer,3/5/1996,20,O+,68.7,"5' 8"""
2130,female,Mrs.,Esther,T,Merritt,Dawson,3/16/2008,8,O+,23.8,"4' 2"""
2131,female,Ms.,Pamela,J,Jerry,West,8/4/2007,9,A+,25.7,"4' 0"""
2132,female,Mrs.,Patsy,S,McCluskey,Mitchem,1/15/2000,16,O+,67.5,"5' 0"""
2133,female,Mrs.,Beatrice,G,Roldan,Hurley,7/26/2002,14,O+,76.7,"5' 8"""
2134,female,Dr.,Sheila,R,Schmidt,Gray,9/15/2009,7,O+,23.4,"3' 11"""
2135,female,Mrs.,Jenni,R,Phillips,Hollingsworth,5/4/1998,18,O+,73.5,"5' 9"""
2136,female,Mrs.,Barbara,J,Garcia,Rhodes,12/2/2013,2,B+,13.1,"2' 8"""
2137,female,Mrs.,Kay,D,Brown,Cobos,3/13/2013,3,O+,11.6,"3' 0"""
2138,female,Mrs.,Beverly,M,Ellis,Holmes,1/20/1995,21,O+,95.5,"5' 5"""
2139,female,Mrs.,Sheila,J,Smith,Stinson,10/2/2007,9,A-,23.1,"4' 4"""
2140,female,Ms.,Mary,D,Marcos,Estes,9/28/2014,2,B+,10.4,"2' 9"""
2141,female,Mrs.,Leslie,W,Peele,Fitzgerald,12/31/1995,20,O+,69.2,"5' 5"""
2142,female,Ms.,Kathy,M,Garris,Armstrong,5/27/1997,19,B+,85.7,"5' 7"""
2143,female,Mrs.,Elizabeth,R,Welsh,Hinton,11/25/1995,20,A+,58.9,"5' 9"""
2144,female,Ms.,Patricia,J,Reeves,Ward,6/7/2012,4,B+,12.3,"3' 7"""
2145,female,Mrs.,Donna,J,Souliere,Diggins,8/21/1994,22,A+,97.9,"5' 7"""
2146,female,Ms.,Samantha,C,Payne,Lucas,4/16/1994,22,A+,67.4,"5' 8"""
2147,female,Mrs.,Jennifer,J,Walker,Baker,6/22/2013,3,O+,12.2,"3' 3"""
2148,female,Mrs.,Annette,J,Bishop,Crowell,10/9/2011,5,O+,14.0,"3' 5"""
2149,female,Ms.,Mary,C,Freeman,Hudson,3/26/2003,13,O-,47.5,"5' 2"""
2150,female,Mrs.,Ruth,B,Lee,Parsons,9/26/2002,14,O+,64.8,"5' 2"""
2151,female,Ms.,Edith,B,Sauceda,Noble,10/2/2001,15,O+,47.5,"5' 3"""
2152,female,Ms.,Lisa,L,Bridges,Hunter,8/20/1996,20,A+,59.2,"5' 8"""
2153,female,Ms.,Devin,R,Baxter,Guerrero,2/28/2010,6,O+,23.1,"3' 6"""
2154,female,Ms.,Margaret,T,Ramos,Ingram,9/12/2002,14,O+,77.0,"5' 3"""
2155,female,Mrs.,Karen,R,Palacios,Valenzuela,11/16/2004,12,O+,63.0,"5' 3"""
2156,female,Mrs.,Rose,P,Robertson,Baker,4/11/2008,8,O+,33.4,"4' 5"""
2157,female,Mrs.,Elizabeth,R,Harris,Fann,2/5/2001,15,A+,50.7,"5' 8"""
2158,female,Mrs.,Terrie,S,Gibbs,Douthitt,2/15/2004,12,A+,65.9,"5' 3"""
2159,female,Ms.,Bertha,W,Ross,Womack,6/11/2008,8,O+,35.5,"4' 5"""
2160,female,Mrs.,Jeanne,S,Street,Ohara,3/26/2000,16,A+,57.8,"5' 5"""
2161,female,Mrs.,Cecilia,P,Teter,Tan,1/29/2014,2,B+,10.3,"2' 7"""
2162,female,Ms.,Beverly,J,White,Jackson,7/22/2007,9,AB+,24.9,"4' 6"""
2163,female,Ms.,Patricia,J,Garcia,Merrell,3/22/2004,12,B+,64.3,"5' 5"""
2164,female,Mrs.,Christine,R,Fosdick,Daugherty,5/29/2000,16,B+,70.1,"5' 1"""
2165,female,Mrs.,Tracey,R,Whitcomb,Woodard,1/23/2001,15,A+,48.7,"5' 7"""
2166,female,Ms.,Sarah,J,Vogl,Turner,11/24/1993,22,O+,88.8,"5' 5"""
2167,female,Mrs.,Nancy,J,Alvarez,Taylor,2/10/2009,7,A+,25.5,"4' 0"""
2168,female,Mrs.,Marianne,A,Randolph,Adams,1/18/2002,14,A+,44.4,"5' 8"""
2169,female,Mrs.,Kim,M,Gonzalez,Anderson,12/3/1997,18,B+,74.2,"5' 1"""
2170,female,Ms.,Judith,W,White,Robinson,12/5/2011,4,B+,15.5,"3' 3"""
2171,female,Dr.,Claudia,J,Wier,Silva,5/25/2010,6,B+,20.8,"4' 0"""
2172,female,Ms.,Janet,Z,Steffey,Brown,7/18/1999,17,O+,50.5,"5' 3"""
2173,female,Ms.,Mary,A,Singletary,Hughes,12/21/2012,3,O+,17.9,"3' 1"""
2174,female,Ms.,Michelle,F,Beauchamp,Christopherso,6/2/2000,16,B+,74.1,"5' 7"""
2175,female,Mrs.,Shirley,S,McDonald,Harvard,12/23/1999,16,O-,45.8,"5' 5"""
2176,female,Ms.,Janelle,E,Rosado,Johnson,8/28/1999,17,A+,81.7,"5' 1"""
2177,female,Ms.,Victoria,D,Smith,Ortiz,8/25/2012,4,B+,19.7,"3' 3"""
2178,female,Ms.,Sharon,J,Bulloch,Gonzales,10/29/1999,17,O+,69.3,"5' 8"""
2179,female,Ms.,Mildred,P,Casteel,Green,8/27/2008,8,B+,31.0,"4' 0"""
2180,female,Ms.,Vesta,H,Harris,Vincent,4/6/2012,4,B+,21.5,"3' 1"""
2181,female,Mrs.,Demetrice,A,Clark,Storer,5/16/1999,17,AB+,49.3,"5' 5"""
2182,female,Ms.,Shirley,K,Cisneros,Ogan,6/7/2011,5,O+,16.4,"3' 10"""
2183,female,Mrs.,Teena,T,Daniels,Whaley,4/12/2008,8,O+,31.2,"4' 4"""
2184,female,Ms.,Gail,R,Hardy,Richardson,7/25/2006,10,B+,27.8,"4' 5"""
2185,female,Ms.,Elisabeth,G,Sparks,Rahn,10/10/1997,19,O+,64.6,"5' 3"""
2186,female,Ms.,Valerie,J,Harris,Heath,4/15/2011,5,O-,24.5,"3' 6"""
2187,female,Ms.,Laurie,J,Block,Cohen,4/9/1997,19,B-,73.3,"5' 5"""
2188,female,Ms.,Ann,L,Randolph,Martinez,12/23/2009,6,O+,19.5,"3' 8"""
2189,female,Mrs.,Sandra,C,Pierre,Sharp,3/27/2001,15,B+,68.4,"5' 5"""
2190,female,Mrs.,Gwen,C,Shearer,Anderson,12/14/2011,4,A+,17.6,"3' 2"""
2191,female,Ms.,Melinda,B,White,Boyd,4/2/1994,22,O+,65.8,"5' 4"""
2192,female,Ms.,Asia,D,Lundberg,Glover,10/30/2014,2,B+,12.7,"2' 8"""
2193,female,Ms.,Mary,J,Craig,Dufresne,5/26/2012,4,B+,12.5,"3' 7"""
2194,female,Ms.,Jackie,H,Morrison,Hankinson,1/27/1995,21,A+,76.9,"5' 2"""
2195,female,Ms.,Juanita,R,Mann,Wood,9/1/1997,19,A+,63.3,"5' 1"""
2196,female,Ms.,Edna,J,Watson,Cremeans,8/10/2011,5,A+,16.7,"3' 5"""
2197,female,Ms.,Tanya,V,Martin,Velez,6/18/1996,20,A+,80.7,"5' 5"""
2198,female,Ms.,Donna,R,Bolanos,Frye,3/26/2012,4,B+,12.1,"3' 7"""
2199,female,Ms.,Denise,K,Harris,Martinez,11/9/2000,16,O+,82.8,"5' 2"""
2200,female,Ms.,Clara,J,Rojas,Hodges,6/10/1994,22,O+,61.6,"5' 3"""
2201,female,Ms.,Josefina,J,Murphy,Deleon,4/22/2011,5,A+,18.7,"3' 6"""
2202,female,Mrs.,Carol,L,Kerley,Hall,10/2/2014,2,O+,10.3,"3' 0"""
2203,female,Mrs.,Anna,D,Healy,McDonald,2/28/2008,8,O+,37.6,"3' 10"""
2204,female,Mrs.,Mary,J,Conte,Santos,9/4/2011,5,AB+,16.4,"3' 7"""
2205,female,Ms.,Patricia,M,Baugh,Burdick,4/20/2003,13,O+,61.7,"5' 3"""
2206,female,Mrs.,Regina,R,Nelson,Jewell,10/22/2008,8,B-,29.0,"4' 4"""
2207,female,Ms.,Laurie,K,Jensen,Thomas,2/17/1994,22,A+,77.9,"5' 5"""
2208,female,Mrs.,Laura,J,Thomas,Moser,2/7/2012,4,A+,15.5,"3' 7"""
2209,female,Ms.,Kim,J,Coleman,Nave,2/28/1997,19,A-,56.7,"5' 7"""
2210,female,Mrs.,Hilary,D,Tuttle,Zimmerman,7/29/2007,9,O+,43.3,"4' 0"""
2211,female,Ms.,Violette,M,Seavey,Wendell,5/24/2011,5,O+,17.5,"3' 5"""
2212,female,Ms.,Nora,T,Hall,Hernandez,4/11/2005,11,B+,42.1,"4' 6"""
2213,female,Mrs.,Monica,J,Edwards,Johnson,12/19/2013,2,A+,13.7,"3' 0"""
2214,female,Mrs.,Melanie,R,Alvarez,Fritz,1/17/1998,18,B+,63.0,"5' 7"""
2215,female,Ms.,Delta,S,Hudnall,Austin,6/28/2007,9,B+,29.4,"4' 4"""
2216,female,Ms.,Vivian,A,Salgado,Medrano,3/14/2002,14,A+,53.5,"5' 6"""
2217,female,Ms.,Wilma,T,Richardson,Perkins,4/9/2013,3,A-,12.3,"2' 11"""
2218,female,Ms.,Vivian,J,Province,Ford,3/8/2012,4,O+,13.6,"3' 4"""
2219,female,Ms.,Arlene,R,Rollins,Criswell,7/4/1996,20,O+,58.7,"5' 2"""
2220,female,Ms.,Cassandra,C,Miller,Bass,11/17/2011,5,AB+,25.0,"3' 6"""
2221,female,Mrs.,Autumn,D,Fortier,Grisham,8/10/2006,10,O+,41.2,"4' 2"""
2222,female,Mrs.,Norma,J,O'Reilly,Kaminski,7/24/2013,3,O+,14.3,"3' 4"""
2223,female,Ms.,Bernadette,J,Lewis,Tobin,12/30/2000,15,O+,75.2,"5' 6"""
2224,female,Mrs.,Kelly,C,Enger,Marks,11/18/1995,21,B+,60.4,"5' 6"""
2225,female,Ms.,Una,S,Koonce,Rosenthal,2/9/2011,5,AB+,22.8,"3' 5"""
2226,female,Mrs.,Tasha,H,Willis,Tapia,5/19/2010,6,O+,20.9,"3' 8"""
2227,female,Mrs.,Regina,S,Martin,Oglesby,2/26/2004,12,O+,45.7,"4' 6"""
2228,female,Ms.,Melba,R,Hannah,Price,2/3/2008,8,AB+,21.3,"4' 2"""
2229,female,Mrs.,Alice,J,Garcia,Summers,4/11/2001,15,O+,39.1,"4' 11"""
2230,female,Mrs.,Tia,M,Bellis,Reynolds,8/25/2008,8,O+,27.5,"3' 11"""
2231,female,Mrs.,Jennifer,E,Shaw,Sadler,6/13/2004,12,O-,33.8,"4' 10"""
2232,female,Ms.,Tania,W,Ruiz,Holcomb,3/19/2002,14,AB+,63.9,"5' 1"""
2233,female,Ms.,Stacey,J,Watson,Horton,1/19/2009,7,O+,28.2,"4' 1"""
2234,female,Ms.,Margaret,J,Redmond,Raymo,9/10/2013,3,B+,15.9,"3' 0"""
2235,female,Ms.,Susan,K,Carter,Jordan,9/4/2006,10,O+,30.8,"4' 8"""
2236,female,Mrs.,Rosa,G,Gonzalez,Penney,4/16/2008,8,O+,22.1,"4' 5"""
2237,female,Ms.,Natasha,J,Lindsey,Degarmo,8/26/2001,15,B+,66.3,"5' 1"""
2238,female,Ms.,Roxanne,R,Moore,Stevenson,6/28/1994,22,A-,57.1,"5' 8"""
2239,female,Mrs.,Melanie,M,Rodriguez,Fortunato,5/2/2003,13,O+,59.3,"4' 10"""
2240,female,Mrs.,Sue,D,Turner,Armendariz,7/24/2001,15,A+,53.8,"5' 7"""
2241,female,Mrs.,Krystal,D,Bradley,Martin,8/7/2004,12,O+,34.5,"5' 4"""
2242,female,Ms.,Dorothy,A,Smith,Chee,6/3/2010,6,A+,16.7,"3' 6"""
2243,female,Ms.,Karen,P,Ramirez,Medrano,12/22/1995,20,A+,63.6,"5' 0"""
2244,female,Mrs.,Candida,J,Chaney,Jones,2/27/2002,14,A+,52.6,"5' 8"""
2245,female,Mrs.,Kerry,J,Sargent,Lemieux,2/10/1995,21,O+,83.9,"5' 7"""
2246,female,Ms.,Denise,D,Barnes,Maillet,10/7/2000,16,O+,76.4,"5' 3"""
2247,female,Ms.,Vesta,A,Scott,Azevedo,7/5/2010,6,O-,20.4,"3' 10"""
2248,female,Mrs.,Julia,A,Snyder,Chavez,10/15/2010,6,O+,23.3,"3' 8"""
2249,female,Mrs.,Audrea,R,Dalrymple,Jones,10/2/1994,22,B+,84.3,"5' 2"""
2250,female,Ms.,Rochelle,C,Fair,Taylor,12/2/1993,22,AB-,55.2,"5' 8"""
2251,female,Ms.,Mellissa,F,Stgeorge,Wolfe,4/6/2011,5,O+,19.7,"3' 7"""
2252,female,Mrs.,Zofia,M,Lopez,White,7/12/2013,3,A+,13.6,"3' 0"""
2253,female,Mrs.,Gertrude,R,Vandorn,Smith,10/22/1994,22,O+,53.1,"5' 3"""
2254,female,Mrs.,Leona,T,George,Montes,12/30/1997,18,O+,45.2,"5' 8"""
2255,male,Mr.,William,W,Hazlett,Luebbert,9/5/2014,2,O+,11.8,"2' 9"""
2256,female,Ms.,Barbara,S,Shadrick,Roe,3/2/2014,2,B+,11.7,"2' 9"""
2257,female,Mrs.,Rose,J,Scannell,Ramage,2/14/2013,3,O+,14.8,"2' 11"""
2258,female,Mrs.,Rose,W,Cox,Jackson,3/3/2002,14,A+,43.1,"5' 7"""
2259,female,Mrs.,Helen,H,Martin,McDonald,4/2/2002,14,O-,41.3,"5' 5"""
2260,female,Mrs.,Donnie,J,McCullar,Williams,4/11/1996,20,A+,75.3,"5' 5"""
2261,female,Mrs.,Barbara,A,Brown,McIntosh,8/7/1995,21,AB-,49.1,"5' 4"""
2262,female,Ms.,Christine,R,Blackburn,Houston,9/20/2002,14,O-,59.4,"4' 10"""
2263,female,Mrs.,Brandy,G,Winters,Cameron,8/25/2006,10,A+,46.7,"4' 4"""
2264,female,Mrs.,Elizabeth,R,Butts,Rankins,6/4/2014,2,O+,10.7,"2' 9"""
2265,female,Mrs.,Lois,A,Ryan,Read,1/15/2012,4,A+,18.9,"3' 3"""
2266,female,Mrs.,Mary,S,Gran,Koehn,12/12/1997,18,B+,44.5,"5' 6"""
2267,female,Ms.,Lorie,R,Vela,Soto,7/25/1999,17,O+,73.1,"5' 0"""
2268,female,Ms.,Anna,S,Villarreal,Dardar,7/13/2003,13,AB+,56.5,"4' 11"""
2269,female,Mrs.,Darla,M,Coley,Crivello,7/27/2004,12,B+,65.5,"5' 1"""
2270,female,Mrs.,Shirley,E,Fish,Stamey,8/16/2013,3,B-,16.9,"3' 4"""
2271,female,Ms.,Vanessa,B,Bennett,Lake,1/6/1999,17,O+,80.6,"5' 9"""
2272,female,Mrs.,Shirley,W,Ortega,Jordan,4/23/2005,11,O+,42.8,"5' 1"""
2273,female,Ms.,Blanche,W,Neely,Bashaw,10/22/2009,7,O+,33.5,"3' 8"""
2274,female,Ms.,Dorothea,A,Hendrickson,Stafford,12/13/1994,21,O+,91.1,"5' 3"""
2275,female,Mrs.,Marjorie,C,Higgins,Matthews,9/18/2007,9,O+,39.8,"4' 5"""
2276,female,Ms.,Kari,M,Hill,Damm,8/9/2012,4,AB+,13.0,"3' 2"""
2277,female,Ms.,Linda,S,Bynum,Bartlett,7/4/2014,2,B+,9.8,"2' 9"""
2278,female,Mrs.,Pamela,J,Kellar,Williams,8/10/1997,19,A+,58.1,"5' 6"""
2279,female,Ms.,Lois,A,McMahon,Harrison,3/9/1999,17,O+,82.5,"4' 11"""
2280,female,Ms.,Sandra,J,Stanley,Flynn,8/1/2007,9,B+,43.4,"4' 8"""
2281,female,Mrs.,Martha,E,Miller,Clayton,12/21/1999,16,B+,42.2,"5' 7"""
2282,female,Mrs.,Angeline,J,Poling,Nelson,11/13/1997,19,B+,72.6,"4' 11"""
2283,female,Dr.,Rita,J,Abernathy,Brewer,3/9/1996,20,O+,75.9,"5' 8"""
2284,female,Ms.,Wanda,D,Webb,Paige,5/21/2005,11,O-,37.9,"4' 11"""
2285,female,Ms.,Linda,M,Hutchinson,Steward,9/4/2000,16,B+,43.0,"5' 6"""
2286,female,Ms.,Annette,J,Taylor,Kellner,7/12/2012,4,A-,14.2,"3' 7"""
2287,female,Ms.,Ruth,L,McCarley,Johnson,4/27/1996,20,B+,61.0,"5' 3"""
2288,female,Ms.,Marlyn,K,Carrol,Lee,3/18/1998,18,O+,59.8,"5' 9"""
2289,female,Mrs.,Blanca,L,McGraw,Siniard,12/29/2002,13,B+,72.8,"4' 9"""
2290,female,Ms.,Allison,B,Simmons,Hendrix,6/12/1996,20,O+,76.8,"5' 8"""
2291,female,Ms.,Tonja,W,Farrell,Thomas,11/8/2014,2,O+,16.0,"2' 11"""
2292,female,Ms.,Helen,G,Lavoie,Page,1/17/1997,19,B+,75.5,"5' 8"""
2293,male,Mr.,Lawrence,D,Lambert,Holcombe,2/19/2008,8,B+,22.5,"4' 5"""
2294,female,Ms.,Ruby,J,Townsend,Mann,9/6/2010,6,O+,22.7,"3' 7"""
2295,female,Ms.,Carlie,K,Fong,Leblanc,11/13/2001,15,A+,50.7,"5' 5"""
2296,female,Mrs.,Audrey,R,Silveira,Scott,4/9/1994,22,A+,63.3,"5' 2"""
2297,female,Mrs.,Micaela,J,Pritchard,Honeycutt,3/30/2013,3,A+,12.9,"2' 11"""
2298,female,Mrs.,Dortha,B,Sullivan,Stough,5/31/2001,15,B+,62.1,"5' 3"""
2299,female,Ms.,Saundra,R,Wilson,Jones,10/9/2006,10,B+,38.4,"4' 3"""
2300,female,Ms.,Amy,M,Glasgow,Mason,8/19/1999,17,O+,78.9,"5' 4"""
2301,female,Mrs.,Sharon,J,Baugh,Bratcher,2/15/2005,11,A+,47.7,"4' 11"""
2302,female,Ms.,Peggy,G,Brodie,Cates,6/15/2007,9,B-,36.8,"4' 8"""
2303,female,Mrs.,Lawanda,J,Hill,Hanrahan,7/19/1998,18,A+,80.0,"5' 4"""
2304,female,Mrs.,Doreen,J,Frisby,Zellner,8/2/2013,3,O+,15.7,"3' 0"""
2305,female,Ms.,Marie,O,Jackson,Hahn,10/15/2010,6,AB+,27.2,"3' 11"""
2306,female,Ms.,Carol,J,Ratliff,Cramer,3/10/2003,13,A+,64.3,"5' 4"""
2307,female,Ms.,Barbara,S,Castro,Money,7/19/2002,14,A+,47.0,"5' 4"""
2308,female,Mrs.,Julia,S,Scott,Hammett,3/27/2002,14,A-,62.0,"4' 10"""
2309,female,Ms.,Cindy,B,Guerra,Kelly,11/17/1994,22,B+,62.1,"5' 5"""
2310,female,Mrs.,Nora,C,Anderson,Austin,7/27/2013,3,B+,17.9,"3' 1"""
2311,female,Ms.,Rochelle,L,Adams,Temple,10/24/2002,14,O+,67.2,"5' 2"""
2312,female,Ms.,Mary,L,Madison,Lambert,12/1/2012,3,O+,12.4,"3' 0"""
2313,female,Mrs.,Valerie,W,Kyle,Cleveland,2/20/2014,2,B+,9.5,"3' 0"""
2314,female,Mrs.,Belen,J,Jones,Irby,2/13/2008,8,AB+,24.8,"4' 0"""
2315,female,Mrs.,Lisa,J,Mims,Westbury,4/26/2008,8,O+,20.9,"4' 0"""
2316,female,Ms.,Sandra,G,Scales,Hanover,6/1/2013,3,B+,13.0,"3' 3"""
2317,female,Ms.,Leslie,R,Shiflet,Richards,5/20/2009,7,A+,27.7,"4' 0"""
2318,female,Ms.,Christinia,G,Hartley,Perez,3/30/2012,4,AB+,19.8,"3' 2"""
2319,female,Ms.,Luz,B,Morris,Dunham,8/8/1994,22,A+,83.3,"5' 4"""
2320,female,Ms.,Telma,B,Tober,Lockhart,10/6/2000,16,O+,65.3,"5' 5"""
2321,female,Mrs.,Carol,C,Lester,Dixon,12/15/2003,12,AB+,37.9,"5' 3"""
2322,female,Mrs.,Katie,F,Longacre,Boling,1/13/2000,16,A+,41.6,"5' 5"""
2323,female,Ms.,Christine,R,Martinez,Wray,3/14/1999,17,B+,85.4,"5' 1"""
2324,female,Ms.,Berenice,J,Harris,Smith,4/29/2011,5,O+,21.2,"3' 4"""
2325,female,Ms.,Audra,I,Allen,Lang,6/9/2010,6,A+,19.1,"3' 11"""
2326,female,Ms.,Linda,O,Lowry,Smith,4/23/2000,16,A-,68.7,"5' 1"""
2327,female,Mrs.,Leena,J,Wheatley,Greenhill,11/4/2003,13,AB+,49.3,"4' 10"""
2328,female,Ms.,Louise,F,Johns,Brill,11/25/2007,8,B+,24.5,"3' 11"""
2329,female,Mrs.,Barbara,M,Golden,Finley,7/11/2011,5,O+,21.4,"3' 5"""
2330,female,Ms.,Gisela,M,Grullon,Wilson,1/25/2002,14,O+,51.7,"5' 1"""
2331,female,Mrs.,Kristin,T,Thompson,Vance,5/15/2011,5,A-,22.6,"3' 10"""
2332,female,Ms.,Denise,J,Hayne,Stewart,11/13/2000,16,B+,75.3,"4' 11"""
2333,female,Ms.,Sandra,N,Omalley,Oxley,4/23/2003,13,A+,34.4,"5' 1"""
2334,female,Dr.,Lena,D,Miller,Vickers,3/9/2003,13,A+,41.9,"5' 1"""
2335,female,Ms.,Lori,D,Wathen,Haag,8/2/2001,15,O+,53.8,"5' 6"""
2336,female,Ms.,Marie,S,Owen,Epstein,10/25/1998,18,A+,46.4,"5' 1"""
2337,female,Mrs.,Celina,C,Kelly,Chidester,10/20/2002,14,O+,55.7,"5' 7"""
2338,female,Mrs.,Ruth,M,Gleason,Perry,1/8/1998,18,O+,63.1,"5' 9"""
2339,female,Dr.,Kathleen,L,Whittaker,Hastings,10/16/2009,7,B+,31.2,"4' 0"""
2340,female,Ms.,Dollie,J,Moore,Winslow,1/23/2013,3,O-,13.8,"3' 4"""
2341,female,Mrs.,Sandra,R,Colson,Dunn,9/6/1998,18,A+,75.3,"5' 1"""
2342,female,Mrs.,Gale,D,Garner,Raby,6/1/1996,20,A+,78.6,"5' 5"""
2343,female,Mrs.,Opal,C,Bailey,Lawson,10/30/1999,17,A+,84.2,"5' 7"""
2344,female,Ms.,Phillis,J,Austin,Thomas,1/26/2014,2,B+,12.8,"2' 7"""
2345,female,Ms.,Melissa,J,Smith,Ice,8/3/2003,13,AB+,52.1,"5' 1"""
2346,female,Mrs.,Karen,D,Scott,Pennell,11/17/1998,18,O+,82.1,"5' 7"""
2347,female,Mrs.,Sara,G,George,Johnson,12/12/2013,2,O+,10.4,"3' 0"""
2348,female,Ms.,Rozanne,A,Collins,Prine,12/31/2003,12,O+,37.2,"5' 5"""
2349,female,Mrs.,Diana,J,Campbell,Lee,12/25/2007,8,AB-,30.7,"4' 6"""
2350,female,Mrs.,Kerry,B,Hyden,Frick,7/15/1995,21,O+,67.0,"5' 6"""
2351,female,Mrs.,Naomi,R,Okeefe,Franklin,4/23/1999,17,A-,70.3,"5' 3"""
2352,female,Mrs.,Elaine,S,Newberry,Silva,6/25/1994,22,O+,61.8,"5' 9"""
2353,female,Mrs.,Dorothy,K,Dates,Leedom,4/24/2011,5,O+,15.9,"3' 5"""
2354,female,Ms.,Marie,J,Smith,McCormick,9/19/1994,22,B+,97.7,"5' 3"""
2355,female,Mrs.,Edna,P,Bailey,Kirk,11/5/2013,3,A+,15.3,"3' 1"""
2356,female,Mrs.,Jerry,L,Brain,Tran,10/24/2001,15,O+,39.9,"5' 4"""
2357,female,Ms.,Virginia,M,Swift,Salgado,8/27/2005,11,O+,42.9,"4' 10"""
2358,female,Mrs.,Kathy,D,Smith,Nolen,4/24/2010,6,A+,21.7,"3' 9"""
2359,female,Dr.,Leslie,D,Miller,Fujiwara,6/23/2006,10,B-,27.1,"4' 6"""
2360,female,Mrs.,Wendy,J,Delgado,Bone,11/6/2004,12,B+,65.9,"5' 0"""
2361,female,Dr.,Dorothea,H,Stevens,Seaman,6/28/2012,4,O+,17.8,"3' 2"""
2362,female,Mrs.,Sarah,J,Simon,Palmer,2/27/2014,2,O+,14.5,"2' 7"""
2363,female,Ms.,Cynthia,T,Moore,Burke,1/10/2004,12,B-,41.9,"4' 11"""
2364,female,Ms.,Iris,A,Paynter,Michael,8/11/2000,16,A+,73.4,"5' 6"""
2365,female,Mrs.,Marcia,L,Burns,Huang,1/3/2002,14,A+,40.2,"5' 2"""
2366,female,Mrs.,Margie,J,Nelson,Gruber,2/24/2005,11,O+,54.9,"4' 6"""
2367,female,Mrs.,Angelina,R,Smith,Numbers,1/21/1998,18,A-,66.4,"5' 3"""
2368,female,Mrs.,Loris,J,Dexter,Culbreth,9/3/2002,14,A+,75.1,"5' 0"""
2369,female,Mrs.,Lindsey,J,Newbern,Morgan,4/21/2003,13,A+,62.8,"4' 11"""
